job_title_categories,Intern,Junior,Mid,Senior,Total Average of annual_salary(USD)
AI/ML Specialist,720,3 600,16 089,,13 946
Analyst,,,14 489,13 200,14 167
Data Analyst,,2 160,8 197,11 680,8 153
Data Engineer,,8 400,12 300,54 000,15 208
Data Scientist,2 286,15 225,17 580,22 933,15 362
Engineer,,,6 104,72 000,12 694
Machine Learning Engineer,,,20 607,,20 607
Other,,,6 736,7 200,6 922
Product Manager,,18 000,,32 000,28 500
Project Manager,,,30 000,15 935,17 944
QA Engineer,,,12 768,8 040,11 980
Scientific Research,,3 168,12 200,,9 942
Software Developer,2 640,9 886,11 994,,11 008
Trainer,,,8 420,8 400,8 418
Grand Total,2 244,11 046,12 656,20 194,12 806
